brand;model;car_model;price_chf;mileage;engine_power_hp;power_mode;production_date;consumption_l_per_100km;transmission;listing_url
VW;Passat;VW Passat Variant 2.0 TSI R-Line 4Motion DSG;22900.0;168000.0;280.0;Benzin;112.021;9.7;Halbautomatik;https://www.autoscout24.ch/de/d/vw-passat-variant-20-tsi-r-line-4motion-dsg-12828280
BMW;730d;BMW 730d xDrive Steptronic M-Sportpaket;37899.0;143900.0;265.0;Diesel;102.018;7.5;Automat;https://www.autoscout24.ch/de/d/bmw-730d-xdrive-steptronic-m-sportpaket-12848427
Porsche;718;PORSCHE 718 GT4 Club Sport Manthey Racing MR;125900.0;31500.0;425.0;Benzin;92.019;;Automat;https://www.autoscout24.ch/de/d/porsche-718-gt4-club-sport-manthey-racing-mr-12847979
Audi;A4;AUDI A4 Avant 40 TDI S line quattro S-tronic;35990.0;28600.0;204.0;Diesel;92.022;6.4;Automat;https://www.autoscout24.ch/de/d/audi-a4-avant-40-tdi-s-line-quattro-s-tronic-12831444
Mercedes-Benz;GLE 53;MERCEDES-BENZ GLE 53 AMG 4Matic+ 9G-Speedshift *CH-Fahrzeug* *7 Sitze* *AHK* *Panorama* *Carbon*;74800.0;87500.0;435.0;Benzin;22.020;11.4;Automat;https://www.autoscout24.ch/de/d/mercedes-benz-gle-53-amg-4matic-9g-speedshift-ch-fahrzeug-7-sitze-ahk-panorama-carbon-12851356
ASTON;MARTIN;ASTON MARTIN V8 Vantage 4.7 S SP10 Sportshift;69999.0;24000.0;437.0;Benzin;42.015;12.9;Halbautomatik;https://www.autoscout24.ch/de/d/aston-martin-v8-vantage-47-s-sp10-sportshift-12845270
Mercedes-Benz;V 250;MERCEDES-BENZ V 250 d TREND Lang;83900.0;15.0;190.0;Diesel;Neues Fahrzeug;;Automat;https://www.autoscout24.ch/de/d/mercedes-benz-v-250-d-trend-lang-12845202
Kia;Rio 1.0;KIA Rio 1.0 T-GDi GT Line;14900.0;69000.0;120.0;Benzin;62.018;4.7;Manuell;https://www.autoscout24.ch/de/d/kia-rio-10-t-gdi-gt-line-12848438
BAIC;BJ30e;BAIC BJ30e-AWD- Neuheit in der Schweiz! Nur bei GarageZöllig - NULL % Leasingzins möglich!;42898.0;10.0;280.0;Benzin;Neues Fahrzeug;6.7;Automat;https://www.autoscout24.ch/de/d/baic-bj30e-awd-neuheit-in-der-schweiz-nur-bei-garagezollig-null-leasingzins-moglich-12822170
Smart;#3;SMART #3 Brabus 4x4;39980.0;3800.0;428.0;Elektro;122.024;;Halbautomatik;https://www.autoscout24.ch/de/d/smart-3-brabus-4x4-12831713
Audi;S6;AUDI S6 Avant 3.0 TDI Quattro tiptronic 344PS;59800.0;14200.0;344.0;Diesel;82.024;;Automat;https://www.autoscout24.ch/de/d/audi-s6-avant-30-tdi-quattro-tiptronic-344ps-12852707
Audi;S1;AUDI S1 Sportback 2.0 TFSI Sport quattro *quattro Paket* *Keyless*;24800.0;80000.0;230.0;Benzin;82.015;7.2;Manuell;https://www.autoscout24.ch/de/d/audi-s1-sportback-20-tfsi-sport-quattro-quattro-paket-keyless-12844451
Audi;A4;AUDI A4 Avant 40 TDI advanced Attraction quattro S-tronic;25800.0;75200.0;204.0;Diesel;42.021;5.7;Halbautomatik;https://www.autoscout24.ch/de/d/audi-a4-avant-40-tdi-advanced-attraction-quattro-s-tronic-12829121
VW;Passat 2.0;VW Passat 2.0 TDI BMT Elegance 4Motion DSG;24500.0;77500.0;200.0;Diesel;72.021;6.7;Halbautomatik;https://www.autoscout24.ch/de/d/vw-passat-20-tdi-bmt-elegance-4motion-dsg-12829078
VW;T-Roc;VW T-Roc 2.0 TDI SCR Advance DSG 4Motion;23800.0;99500.0;150.0;Diesel;112.021;6.6;Halbautomatik;https://www.autoscout24.ch/de/d/vw-t-roc-20-tdi-scr-advance-dsg-4motion-12829054
Audi;SQ7;AUDI SQ7 TFSI quattro tiptronic;93990.0;1800.0;507.0;Benzin;32.023;;Automat;https://www.autoscout24.ch/de/d/audi-sq7-tfsi-quattro-tiptronic-12826694
Audi;Q3 35;AUDI Q3 35 TDI S line quattro S-tronic;33990.0;29900.0;150.0;Diesel;72.022;6.9;Automat;https://www.autoscout24.ch/de/d/audi-q3-35-tdi-s-line-quattro-s-tronic-12826618
Jaguar;F;JAGUAR F-Pace 2.0 P250 R-Dynamic SE AWD;40990.0;40900.0;250.0;Benzin;112.022;10.4;Automat;https://www.autoscout24.ch/de/d/jaguar-f-pace-20-p250-r-dynamic-se-awd-12826107
Audi;A5;AUDI A5 Cabriolet 3.2 FSI quattro S-tronic +++ CROCHET ATTELAGE 1900 KG 4X4;9999.0;141000.0;265.0;Benzin;52.009;9.5;Halbautomatik;https://www.autoscout24.ch/de/d/audi-a5-cabriolet-32-fsi-quattro-s-tronic-crochet-attelage-1900-kg-4x4-12858869
Land Rover;Range;LAND ROVER Range Rover Evoque R-Dynamic P 250 AT9;32390.0;78900.0;250.0;Benzin;32.020;;Automat;https://www.autoscout24.ch/de/d/land-rover-range-rover-evoque-r-dynamic-p-250-at9-12847156
Kia;Stinger 3.3;KIA Stinger 3.3 T-GDi GT Automat AWD Tribute;62890.0;4500.0;366.0;Benzin;72.023;10.9;Automat;https://www.autoscout24.ch/de/d/kia-stinger-33-t-gdi-gt-automat-awd-tribute-12846792
Fiat;500 1.4;FIAT 500 1.4 16V S;5999.0;115200.0;100.0;Benzin;82.013;5.8;Manuell;https://www.autoscout24.ch/de/d/fiat-500-14-16v-s-12844919
Porsche;Macan 4S;PORSCHE Macan 4S 100kWh;97890.0;4000.0;516.0;Elektro;52.025;;Automat;https://www.autoscout24.ch/de/d/porsche-macan-4s-100kwh-12839380
BMW;X1;BMW X1 xDrive 25d M Sport Steptronic;26400.0;112400.0;231.0;Diesel;62.020;6.4;Automat;https://www.autoscout24.ch/de/d/bmw-x1-xdrive-25d-m-sport-steptronic-12824266
Toyota;Yaris 1.33;TOYOTA Yaris 1.33 Linea Sol Multimode;6999.0;83900.0;99.0;Benzin;42.011;5.2;Halbautomatik;https://www.autoscout24.ch/de/d/toyota-yaris-133-linea-sol-multimode-12850910
BYD;Seal;BYD Seal U DM-i Design AWD;39490.0;10.0;323.0;Benzin;Neues Fahrzeug;1.2;Automat;https://www.autoscout24.ch/de/d/byd-seal-u-dm-i-design-awd-12836760
Mercedes-Benz;G 450d;MERCEDES-BENZ G 450d Vintage - Look;190480.0;10.0;;Diesel;Neues Fahrzeug;;Automat;https://www.autoscout24.ch/de/d/mercedes-benz-g-450d-vintage-look-12835002
Renault;Koleos 2.0;RENAULT Koleos 2.0 dCi Techno 4WD Xtronic CVT;28850.0;49700.0;185.0;Diesel;112.023;;Automat;https://www.autoscout24.ch/de/d/renault-koleos-20-dci-techno-4wd-xtronic-cvt-12820846
VW;ID.7;VW ID.7 Tourer 86 kWh GTX 4MOTION;59500.0;5.0;340.0;Elektro;Neues Fahrzeug;;Halbautomatik;https://www.autoscout24.ch/de/d/vw-id7-tourer-86-kwh-gtx-4motion-12821647
